"Name (english)","Acronym (english)","Name (french)","Acronym (French)","Street","Postcode","Town","Country","Tel","Fax","Website","Email","Funding","Nature of organisation","President First Name","President Last Name","President Address","SG First Name","SG Last Name","SG Address","Year of foundation","Staff","Number of members","Working languages","Official languages","Committes","Geographical representation","Areas of competence","yearStatus"
"European Committee of the World Association of Girl Guides and Girl Scouts","WAGGGS","Comité européen de l'Association mondiale des Guides et des Eclaireuses","AMGE","Rue de l'Industrie 10","B1000","Brussels","Belgium","+32 (0)2 8932420","+32 (0) 2 541 0899","europe.wagggsworld.org","","Public funding, Private donations","Association","Corinna","Hauri","Rue de L'Industrie 10 B1000 Brussels Belgium","","","","0","7","0","English, French","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Albania, Armenia, Austria, Belarus, Belgium, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Netherlands, Norway, Poland, Portugal, Romania, Russian Federation, San Marino, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom","Democracy, Education and Culture, Health, Human rights, International Co-operation, Social Cohension, Youth","0"
"European Confederation of Independent Trade Unions","ECITU","Confédération Européenne des Syndicats Indépendants","CESI","Avenue de la Joyeuse Entrée 1-5","B-1040","Bruxelles","Belgium","+32 (2) 22821870","+32 (2) 22821871","www.cesi.org","info@cesi.org","Member fees","Federation","Romain","WOLFF","Avenue de la Joyeuse Entrée 1-5 B-1040 Bruxelles","Klaus","HEEGER","Avenue de la Joyeuse Entrée 1-5 B-1040 Bruxelles","1990","11","36","Anglais-Allemand-Français","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Poland, Portugal, Romania, Switzerland, Slovakia, Albania, Latvia, Luxembourg, Malta, Serbia, United Kingdom","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law, Health, Environment and sustanable development, Media and Communication, Youth, Other","2001"
"European Confederation of Police","EUROCOP","Confédération Européenne de Police","EUROCOP","617, rue de Neudorf","2220","Luxembourg","Luxembourg","3524349611","35243496125","www.eurocop-police.org","","Member fees","Federation","Heinz","Kiefer","","Jan","Velleman","","2002","4","34","English, German","English","Democracy, Social Cohesion and Global Challenges, Human Rights","Austria, Belgium, Bulgaria, Czech Republic, Danemark, Spain, Finland, Germany, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Greece, Latvia, Luxembourg, Iceland, Monaco, United Kingdom","Human rights, Democracy, Social Cohension, International Co-operation, Health, Other","2002"
"European Confederation of War Veterans","ECWV","Confédération européenne des anciens Combattants","CEAC","1, rue de Brissac","75004","PARIS","France","142713602","142713602","www.union-federale.com","cabero.georges@club-internet.fr","Member fees","Federation","Georges","CABERO","1, rue de Brissac 75004 PA","","","","1962","0","0","français","allemand","Democracy, Social Cohesion and Global Challenges, Human Rights, Human Rights","Austria, Belgium, Czech Republic, Spain, Estonia, France, Germany, Hungary, Italy, Netherlands, Albania, Luxembourg, Serbia, United Kingdom","Human rights, Democracy, Social Cohension, International Co-operation, Media and Communication, Youth","2000"
"European Confederation of Youth Club Organisations","ECYC","Confédération européenne des Organisations de Centres de Jeunes","CEOCJ","De Wittestraat 2","2600","Berchem","Belgium","+32 3 231 18 70","+32 3 226 40 85","http://www.ecyc.org/","carmen@ecyc.org","","Association","","","","Carmen","PAUN","","0","0","0","","","","","","0"
"European Council for Non-Profit Organisations","CEDAG","Conseil européen des associations d'intérêt général","CEDAG","Square Ambiorix, 32","","Bruxelles","Belgium","","","www.cedag-eu.org","cedag@cedag-eu.org","Member fees, Public funding","Association","Patrick","De Bucquois","Square Ambiorix, 32 1000 Bruxelles Belgique","","","","1989","2","32","Anglais","","Democracy, Social Cohesion and Global Challenges","Austria, Belgium, Croatia, Cyprus, Czech Republic, Finland, France, Germany, Hungary, Italy, Lithuania, Norway, Poland, Portugal, Slovenia, Sweden, Greece, Albania, Luxembourg, Malta, Serbia, United Kingdom","Human rights, Democracy, Social Cohension, Education and Culture","1209"
"European Council of Doctoral Candidates and Junior Researchers","EURODOC","Conseil européen des doctorants et jeunes chercheurs","EURODOC","11, rue d'Egmont","1000","Brussels","Belgium","","","www.eurodoc.net","board@eurodoc.net","","Association","Slobodan","Radicev","as above","Kristina","Majsec","","2002","0","0","","","","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Switzerland, Slovakia, Sweden, Greece, the former Yugoslav Republic of Macedonia, Georgia, Azerbaijan, Latvia, Luxembourg, Moldova, Serbia, Iceland, Russian Federation, United Kingdom","","2014"
"European Council of Police Trade Unions","CESP","Conseil européen des Syndicats de Police","CESP","63 rue Bossuet","69006","Lyon","France","+ 33 4 78 72 44 13","","www.cesp.eu","","Membership fees","Professional Organisation","Branko","PRAH","","Gérard","GRENERON","63 rue Bossuet
69006 LYON","1988","11","20","english, french","english, french","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Albania, Bosnia and Herzegovina, Cyprus, France, Germany, Greece, Hungary, Italy, Lithuania, Malta, Montenegro, Netherlands, Portugal, Romania, Serbia, Slovenia, Spain, the former Yugoslav Republic of Macedonia, Ukraine","Democracy, Promotion of democratic values and education for democratic citizenship, Strengthening civil society, Education for Democratic Citizenship, Intercultural Dialogue, Health, Human rights, Children's rights, Economics and social rights, Fight against racism, Gender equality, Legal protection, Prevention of Torture, Promotion and defence of Human Rights, Trafficking in human beings, International Co-operation, European integration, North-South Dialogue, Freedom of expression, Media pluralism, Security and access to Internet, Other, Rule of Law, Fight against corruption, Fight against Terrorism, Penal Law, Security, Social Cohension, Children, Fight against poverty and social exclusion, Fight against violence, Migration, Dopping, Spectator violence","1991"
"European Council of Religious Leaders - Religions for Peace","ECRL","Conseil européen des responsables religieux","ECRL","P O Box 6820, St. Olavs pl,","NO-0130","Oslo","Norway","+47 23 35 30 90","","www.rfp-europe.eu","","Public funding, Private donations","Association","Thomas","Wipf","t.wipf@leuenberg.eu","Jehangir","SAROSH","+47 918 79 256 villumstad@rfp-europe.eu","2002","4","0","English","English","Education and Culture, Human Rights","Albania, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, France, Germany, Greece, Ireland, Italy, Norway, Russian Federation, Serbia, Switzerland, Turkey, United Kingdom, USA","Education and Culture, Human rights, International Co-operation, Other, Social Cohension","2009"
"European Council of Spatial Planners","ECTP-CEU","Conseil Européen des Urbanistes","CEU","Avenue d’Auderghem 63","1040","Brussels","Belgium","+32 2 234 65 00","+32 2 234 650 01","www.ectp-ceu.eu","","Member fees","Professional Organisation","Teixeira","Joao","Estrada da Luz n°90 8°A 600 -160 Lisboa Portugal","Bruno","Clerbaux","Chaussée de la Hulpe 177 bte 5 1170 Bruxelles Belgique","1985","1","25","English","English, French","Democracy, Social Cohesion and Global Challenges","Belgium, Cyprus, Czech Republic, Danemark, Spain, Estonia, France, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Turkey, Greece, Malta, Serbia, Iceland, United Kingdom","Environment and sustanable development, Environment protection, Land development, Countryside, Urban areas, Rural areas, Other","1985"
"European Council of the Village and Small Town","ECOVAST","Le Conseil européen du village et de la petite ville","ECOVAST","Sherborne, Ingleden Park Road","TN30 6NS","Tenterden","United Kingdom","44 1580 762379","","www.ecovast.org","","Member fees","Association","Valerie J.","Carter","","","","","1984","0","500","English/French/German","same","Democracy, Social Cohesion and Global Challenges","Austria, Croatia, Germany, Hungary, Poland, Portugal, Romania, Slovakia, Sweden, the former Yugoslav Republic of Macedonia, Luxembourg, Russian Federation, United Kingdom","Social Cohension, International Co-operation, Education and Culture, Environment and sustanable development","0"
"European Council of Wizo Federations","ECWF","Conseil Européen des Fédérations Wizo","CEFW","Carmenstrasse 21","8032","Zürich","Switzerland","","","","irene.goldberg@ecwf-org.com","Member fees","Federation","","","","Irene","GOLDBERG","","1991","0","0","english","english","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Spain, Estonia, Finland, France, Germany, Hungary, Italy, Lithuania, Netherlands, Portugal, Switzerland, Sweden, Greece, Albania, Latvia, Iceland, United Kingdom","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law, Health, Environment and sustanable development, Media and Communication, Youth, Sport, Other","1995"
"European Council on Refugees and Exiles","ECRE","Conseil européen sur les Réfugiés et Exilés","ECRE","Rue Royale 146, First Floor","1000","Brussels","Belgium","+32 (0)2 234 3800","+32 (0)2 514 5922","www.ecre.org","ecre@ecre.org","Member fees, Public funding","Association","Andreas","Kamm","Danish Refugee Council, Denmark","Michael","Diedring","ECRE Secretariat, Brussels, Belgium","1974","16","70","English","","Human Rights","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Switzerland, Slovakia, Sweden, Turkey, Greece, Azerbaijan, Luxembourg, Malta, Ukraine, Bosnia and Herzegovina, Serbia, Russian Federation, United Kingdom, USA","Human rights, Democracy, Social Cohension, Rule of Law","0"
"European Democracy Forum","EDF","Forum pour l'Europe démocratique","FED","Palais de l'Europe, Bur 1042","67000","Strasbourg","France","+ 33 390214875","+ 33 390214005","","","Member fees, Private donations","Association","Walter","Schwimmer","","","","","2000","0","0","French, English","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Czech Republic, France, Germany, Switzerland, Russian Federation","Human rights, Promotion and defence of Human Rights, Legal protection, Democracy, Promotion of democratic values and education for democratic citizenship, International Co-operation, Promotion of Peace, Conflict meditation, North-South Dialogue, European integration, Rule of Law, Penal Law, Fight against corruption, Strengthening of international public law, Health, Health and Ethics, Public Health, Scientific research, Rights of Minorities, Fight against Terrorism, Strengthening civil society, Security","2003"
"European Democrat Students Federation of Christian-Democratic, Conservative and Liberal Students","EDS","Etudiants démocrates européens Fédération des Etudiants démocrates-chrétiens, centristes et libéraux","EDS","rue du commerce, 10","1000","Bruxelles","Belgium","+ 32 2 285 4150","","www.edsnet.eu","secgen@edsnet.eu","Member fees, Private donations","Association","Eva","Majewski","chairman@edsnet.eu","Ingrid","Hopp","rue du commerce, 10 1000 Brussels","1961","0","0","English","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Germany, Hungary, Italy, Lithuania, Norway, Poland, Portugal, Romania, Slovenia, Slovakia, Sweden, Greece, the former Yugoslav Republic of Macedonia, Georgia, Latvia, Malta, Ukraine, Moldova, Bosnia and Herzegovina, Serbia, Belarus","","0"
"European Disability Forum","EDF","Forum européen des Personnes handicapées","FEPH","du Commerce 41","1000","Bruxelles","Belgium","3222824600","3222824609","www.edf-feph.org","alainfaure24@wanadoo.fr","Public funding","Federation","Yannis","Vardakastanis","","Carlotta","Besozzi","","1996","9","116","English","English","Human Rights","Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, United Kingdom","Education and Culture, Human rights, Media and Communication, Social Cohension, Youth","2002"
"European Drama Encounters","EDE","Rencontres Européennes de Drama","RED","DU MEIBOOM 14","1000","BRUXELLES","Belgium","3228008336","3228008455","","edered1979@gmail.com","Private donations","Federation","Katrin","JANSER","","Karen","LUNDSBY-ANDERSEN","Aegirsgade 30,2TV 2200 COPENHAGEN N DENMARK","1998","0","19","ENGLISH","ENGLISH","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Croatia, Danemark, Estonia, Finland, France, Germany, Hungary, Ireland, Turkey, the former Yugoslav Republic of Macedonia, Luxembourg, Malta, United Kingdom","Human rights, Democracy, International Co-operation, Education and Culture, Youth","0"
"European Environmental Bureau","EEB","Bureau européen de l'Environnement","BEE","34 boulevard de Waterloo","1000","Bruxelles","Belgium","0032 2 289 1095","0032 2 289 1099","www.eeb.org","info@eeb.org","Membership fees, Public funding","Federation","Mikael","Karlsson","P.O. Box 4625 116 91 Stockholm Sweden","Jeremy","Wates","34 boulevard de Waterloo  B - 1000 Bruxelles ","1974","15","147","anglais","","Democracy, Social Cohesion and Global Challenges","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Luxembourg, Netherlands, Norway, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, the former Yugoslav Republic of Macedonia, Turkey, United Kingdom","Democracy, Strengthening civil society, Environment and sustanable development, Conservation/ protection of animals, Countryside, Environment protection, Land development, Natural and technological disasters, Other, Rural areas, Sustainable tourism, Urban areas, International Co-operation, European integration, Media and Communication, Rule of Law, Strengthening of international public law","0"
"European Federation for Intercultural Learning","EFIL","Fédération européenne pour l'Apprentissage interculturel","EFIL","Avenue Emile Max 150","1030","Bruxelles","Belgium","3225145250","3225142929","www.efil.afs.org","","Member fees, Public funding","Association","Christine","Leimgruber","Kehlstrasse 57, 5400 Baaden, Switzerland","Paul","Claes","Avenue Emile Max 150, 1030 Bruxelles, Belgique","1971","0","27","English","English","Education and Culture","Austria, Belgium, Croatia, Czech Republic, Danemark, Spain, Finland, France, Germany, Hungary, Italy, Netherlands, Norway, Portugal, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Latvia, Bosnia and Herzegovina, Serbia, Iceland, Russian Federation","Education and Culture, Youth","0"
"European Federation for Street Children","EFSC","Fédération européenne pour les enfants de la rue","EFSC","Square Vergote 34","1030","Brussels","Belgium","+ 32 2 347 78 48","+ 32 2 347 79 46","www.efsc-eu.org","info@efsc-eu.org","","Federation","","","","","","","0","0","0","","","","","","2007"
"European Federation of Centers of Research and Information on Sectarianism","FECRIS","Fédération Européenne des Centres de Recherche et d'Information sur le Sectarisme","FECRIS","26 A, rue Espérandieu","13001","Marseille","France","4,36645E+11","","www.fecris.org","fecrispres@googlemail.com","Public funding","Federation","Danielle","MULLER-TULLI","221 route du Mardement,
1242 Satigny, Switzerland

","Mireille","Degen","37 avenue des Châtaigniers 1640 Rhode-St-Genèse Belgium","1994","0","51","English, French","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Armenia, Austria, Belarus, Belgium, Bulgaria, Cyprus, Estonia, Finland, France, Germany, Ireland, Italy, Latvia, Lithuania, Malta, Netherlands, Norway, Poland, Russian Federation, Serbia, Slovakia, Spain, Sweden, Switzerland, Ukraine, United Kingdom, USA","Democracy, Education and Culture, Health, Human rights, International Co-operation","2005"
"European Federation of Christian Student Associations","EKV","Fédération européenne des Associations des Etudiants Chrétiens","EKV","Lerchenfelderstraße 14","1080","Wien","Austria","+43 (0)1 4051622-0","+43 (0)1 4051622-33","www.ekv.info","office@ekv.info","Member fees, Private donations","Association","Guido","Hermanns","Lerchenfelderstr. 14 A-1080 Wien Austria","Cornelia","Kenda","Lerchenfelderstr. 14 A-1080 Wien Austria","1975","0","0","german","","Democracy, Social Cohesion and Global Challenges, Education and Culture","Austria, Belgium, Czech Republic, Estonia, France, Germany, Italy, Netherlands, Poland, Romania, Switzerland, Liechtenstein, Luxembourg","Democracy, Social Cohension, Students, Education and Culture, Education for Democratic Citizenship, Languages, Cultural diversity, Religion, Other, Youth, Youth policy, Youth participation, Intercultural Dialogue, Higher Educational, Strengthening civil society","0"
"European Federation of Employees in Public Services","EUROFEDOP","Fédération européenne du Personnel des Services publics","EUROFEDOP","Blijde Inkomstlaan 1-5","1040","Brussels","Belgium","","","www.eurofedop.org","eurofedop@eurofedop.org","","Association","Fritz","NEUGEBAUER","Teinfaltstrasse 7 A - 1010 Wien fritz.neugebauer@goed.at","Bert","VAN CAELENBERG","Blijde Inkimstlaan, 1-5 Brussel bert.vancaelenber","1966","0","45 000","Allemand, Anglais, Français, Néerlandais","Allemand, Anglais","Democracy, Social Cohesion and Global Challenges, Human Rights","Austria, Belgium, Croatia, Danemark, Spain, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Romania, Switzerland, Slovakia, Albania, Malta, Bosnia and Herzegovina, Serbia, United Kingdom","","0"
"European Federation of National Organisations Working with the Homeless","FEANTSA","Fédération européenne d'Associations nationales travaillant avec les Sans-Abri","FEANTSA","197 Chausée de Louvain","1210","Brussels","Belgium","32 (0)2 538 66 69","","www.feantsa.org","information@feantsa.org","","Association","","","","","","","0","0","0","","","","","","0"
"European Federation of Psychoanalysis and Psychoanalytical Schools of Strasbourg","FEDEPSY","Fédération européenne de Psychanalyse et Ecoles de Psychoanalyse de Strasbourg","FEDEPSY","5 rue Sleidan","67000","Strasbourg","France","00 33 3 88 35 24 86","00 33 3 88 35 24 86","www.fedepsy.com","fedepsy@wanadoo.fr","Member fees, Public funding, Private donations","Federation","Jean-Richard","Freymann","5 rue Sleidan 67000 Strasbourg","","","","2001","0","0","","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Spain, France, Germany, Italy, Portugal, Switzerland, Slovakia, Turkey, Greece, Luxembourg, Ukraine, USA","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law, Health, Media and Communication","0"
"European Federation of Schools","FEDE","Fédération Européenne Des Ecoles","FEDE","33 RUE LA BOETIE","75008","PARIS","France","+33(0)1.47.70.23.83","+33(0)1.83.92.25.50","www.fede.education","contact@fede.education","Membership fees, Private donations","Association","CLAUDE ","VIVIER LE GOT (Mrs)","33 rue la BOETIE - 75008 PARIS","Jean Luc","COLLET","","1963","10","500","FRANCAIS - ENGLISH","FRANCAIS - ENGLISH","Education and Culture, Human Rights","Cyprus, France, Georgia, Germany, Greece, Ireland, Italy, Poland, Portugal, Romania, Russian Federation, Spain, Switzerland, Turkey","Democracy, Education and Culture, Human rights, Youth","1987"
"European Forum for Urban Security","*","Forum européen pour la Sécurité urbaine","*","10 RUE DES MONTIBOEUFS","75020","PARIS","France","+33 1 40 64 49 00","","http://efus.eu/","","","Association","PINTO","Ghilherme","","","","","0","0","0","","","","","","0"
"European Forum of Sign Language Interpreters","efsli","Forum européen d’interprètes de langage de signes","efsli","Rue de la Loi / Wetstraat 26/15","1040","Brussels","Belgium","3,93496E+11","","www.efsli.org","secretariat@efsli.org","Member fees, Public funding, Private donations","Association","Marinella","Salami","marinella.salami@efsli.org","Salome","Minke","secretariat@efsli.org","1992","2","0","English","English","","Austria, Belgium, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Ireland, Italy, Netherlands, Norway, Poland, Romania, Slovenia, Switzerland, Slovakia, Sweden, Greece, Serbia, United Kingdom","Human rights, Economics and social rights, Social Cohension, Fight against poverty and social exclusion, Disabled persons, Intercommunity relations and integration, International Co-operation, European integration, Education and Culture, Languages, Cultural diversity, Media and Communication, Access to information, Rights of Minorities","2010"
"European Gay and Lesbian Sport Federation","EGLSF","Fédération sportive gaie et lesbienne","EGLSF","Meeuwenlaan 41","1021 HS","Amsterdam","Netherlands","","","eglsf.info","Klaus@eglsf.info","Member fees","Federation","Armelle","Mazé","as above","Klaus","Heusslein","as above","1989","0","115","English","English","Education and Culture, Human Rights","Austria, Belgium, Bulgaria, Czech Republic, Danemark, Spain, Finland, France, Germany, Hungary, Italy, Netherlands, Norway, Slovenia, Switzerland, Sweden, Greece, the former Yugoslav Republic of Macedonia, Luxembourg, United Kingdom","Human rights, Social Cohension, Education and Culture, Youth, Sport","2001"
"European Group for research and training of teachers holding christian and other beliefs and other convictions","GERFEC","Groupement européen pour la recherche et la formation des enseignants chrétiens, croyants et de toutes convictions","GERFEC","10, rue Erckmann-Chatrian","67000","Strasbourg","France","+33 88 14 08 84","","www.gerfec.eu","","Member fees","Association","Roseline","Moreau","as above","Kari","Flornes","Arstadgeilen 15 NO 55009 BERGEN","1979","0","0","Français","Français","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Belgium, Spain, France, Germany, Hungary, Italy, Netherlands, Norway, Poland, Portugal, Romania, Turkey, Greece","Human rights, Democracy, Education and Culture, Youth","2013"
"European Jewish Congress","EJC","Congrès juif européen","CJE","78 avenue des Champs-Elysées","75008","Paris","France","+33 (0)1 43 59 9","+33 (0)1 42 25 45 28","eurojewcong.org","info@ejcbrussels.org","","Association","MOSHE","VIATCHESLAV KANTOR","","SERGE","CWAJGENBAUM","","0","0","0","","","Democracy, Social Cohesion and Global Challenges, Human Rights","Austria, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Moldova, Monaco, Netherlands, Norway, Poland, Portugal, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, the former Yugoslav Republic of Macedonia, Turkey, Ukraine, United Kingdom","Democracy, Promotion of democratic values and education for democratic citizenship, Strengthening civil society, Education and Culture, Cultural diversity, Education for Democratic Citizenship, Intercultural Dialogue, Religion, Human rights, Fight against racism, Legal protection, Promotion and defence of Human Rights, Rights of Minorities","0"
"European JudgesAnd public prosecutors for Democracy and Fundamental freedoms","MEDEL","Magistrats européens pour la Démocratie et les Libertés","MEDEL","","","","Portugal","3,51967E+11","","www.medelnet.org","","Member fees","Association","Antonio","Cluny","Rua do Alto do Moinho Velho, 2750-286 Cascais, Portugal.","Dragana","Boljevic","Alekse Nenadovica 24, Belgrade","1985","0","15 000","Français","French","","Belgium, Cyprus, Czech Republic, Spain, France, Germany, Italy, Poland, Portugal, Romania, Turkey, Greece, Serbia","Human rights, Rule of Law","1990"
"European Landowners’ Organisation","ELO","Organisation européenne de la propriété rurale","ELO","Trèves 67","1040","Bruxelles","Belgium","3222343000","3222343009","www.elo.org","","Public funding, Private donations","Federation","Mark","Thomasin Foster","rue de Trèves 67 B-1040 Bruxelles Belgium","Thierry","de l'Escaille","rue de Trèves 67 B-1040 Bruxelles Belgium","1972","15","65","English, French","French, English","Democracy, Social Cohesion and Global Challenges, Human Rights","Austria, Belgium, Bulgaria, Czech Republic, Danemark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, United Kingdom","Education and Culture, Heritage, Environment and sustanable development, Conservation/ protection of animals, Countryside, Environment protection, Land development, Natural and technological disasters, Other, Rural areas, Sustainable tourism, Urban areas, Human rights, Legal protection","2002"
"European Law Students' Association","ELSA","Association europénne des Etudiants en Droit","ELSA","Boulevard Général Jacques 239","B-1050","Brussels","Belgium","+32 2 646 26 26","+32 2 646 29 23","www.elsa.org","elsa@elsa.org","Member fees, Private donations","Association","Leonid","Cherniavskyi","239, Boulevard Général Jacques B-1050 Brussels BELGIUM","Timo","Kortesoja","239, Boulevard Général Jacques B-1050 Brussels BELGIUM","1981","7","30 000","English","English","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, Albania, the former Yugoslav Republic of Macedonia, Georgia, Armenia, Latvia, Luxembourg, Malta, Ukraine, Bosnia and Herzegovina, Serbia, Iceland, Russian Federation, United Kingdom, Montenegro","Human rights, Promotion and defence of Human Rights, Legal protection, Economics and social rights, Children's rights, Gender equality, Fight against racism, Prevention of Torture, Trafficking in human beings, Democracy, Promotion of democratic values and education for democratic citizenship, Social Cohension, Students, International Co-operation, Promotion of Peace, European integration, Education and Culture, Education for Democratic Citizenship, Languages, Cultural diversity, Rule of Law, Penal Law, Fight against corruption, Strengthening of international public law, Health, Health and Ethics, Environment and sustanable development, Environment protection, Media and Communication, Freedom of expression, Youth, Intercultural Dialogue, Higher Educational, Strengthening civil society, Security and access to Internet","2000"
"European Lawyers Union","UAE","Union des avocats européens","UAE","9A, cité Mont Rose","8445","Steinfort","Luxembourg","+ 352 46 73 46","","www.uae.lu","vreva@hincker-associes.com","","Association","Bruno","Telchini","as above","Romain","Lutgen","as above","1986","0","0","","","","Austria, Belgium, Czech Republic, Spain, France, Germany, Hungary, Ireland, Italy, Netherlands, Poland, Portugal, Romania, Switzerland, Turkey, Greece, Luxembourg, Malta, United Kingdom","","2014"
"European Local Inclusion and Social Action Network","ELISAN","Réseau européen pour l'inclusion et l'action sociale locale","ELISAN","105 avenue Gambaetta","75960","PARIS Cedex 20","France","","","www.elisan.eu","elena.curtopassi@regione.veneto.it","Membership fees, Public funding","Association","Sylvie","CARREGA","CCAS de Marseille 
Immeuble Quai Ouest - 50 rue de Ruffi 
CS 90349
13331  MARSEILLE  CEDEX 03 ","","","","2008","0","0","French, English ","French, English ","Democracy, Social Cohesion and Global Challenges, Human Rights","Austria, Belgium, France, Greece, Ireland, Italy, Poland, Romania, Spain, United Kingdom","Democracy, Environment and sustanable development, Health, Human rights, International Co-operation, Social Cohension","2009"
"European Movement International","EMI","Mouvement européen international","EMI","21 rue Marie-Thérèse","1000","Brussels","Belgium","+32 25 08 30 88","+32 25 08 30 89","www.europeanmovement.eu","secretariat@europeanmovement.eu","Public funding, Private donations","Association","Jo","Leinen","21, rue Marie-Thérèse
B-1000 Brussels","Diogo","Pinto","21, rue Marie-Thérèse
B-1000 Brussels","1949","8","75","","English ","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Albania, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Moldova, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russian Federation, Serbia, Slovenia, Spain, Sweden, Switzerland, the former Yugoslav Republic of Macedonia, Turkey, Ukraine, United Kingdom","Democracy, Education and Culture, Human rights, International Co-operation, Other, Rule of Law, Youth","1993"
"European Network against racism","ENAR","Réseau européen contre le racisme","ENAR","60 rue Gallait, 3rd floor","1030","Brussels","Belgium","32 2 229 35 70","32 2 229 37 75","www.enar-eu.org","info@enar-eu.org","","Association","Chibo","Onveji","Dr","Michaël","Privot","+32 2 229 35 72 Michael@enar-eu.org","0","0","0","","","","","","0"
